record_id,source,protein_id,pdb_id,chain_id,sequence_sha256,sequence_length,joint_homology_group,canonical_dataset_role,experimental_cv_fold,label_availability
EXPERIMENTAL__2jph,experimental_nmr,2jph,2jph,,7d1b2fdd5c07e55a1d948edfc4b688b2f26b241952ff291c9bfc142b15c552e3,122,JHG30_3f4e3c429f02,experimental_grouped_cv,4,included_in_development_residue_labels
EXPERIMENTAL__2juo,experimental_nmr,2juo,2juo,,f04a826dd27ef1990a1b4f9215861337627198324792ca3b55ef98797740bbed,89,JHG30_c48474d14add,experimental_grouped_cv,1,included_in_development_residue_labels
EXPERIMENTAL__2jxn,experimental_nmr,2jxn,2jxn,,45e05741a7c6e0e3ada4231f43da2d478c6e94c58bb5f01c758396d6bc9d6d3a,116,JHG30_289bf3803a02,experimental_grouped_cv,0,included_in_development_residue_labels
EXPERIMENTAL__2kni,experimental_nmr,2kni,2kni,,2af952675c56486597162342aca15e2a4e33a769d067255ab4645d7ed742354f,41,JHG30_f3f132b87263,experimental_grouped_cv,3,included_in_development_residue_labels
EXPERIMENTAL__2l4o,experimental_nmr,2l4o,2l4o,,4c1f8c8793ebd5e4853c2dc4abbc6ed06971f4cfab163194ea68c4f28789e3e6,175,JHG30_fd879495b170,experimental_grouped_cv,2,included_in_development_residue_labels
EXPERIMENTAL__2llf,experimental_nmr,2llf,2llf,,e39816f101dec66eb2b8efabd14d050341776976e2ce16c1e4adced4063e2238,107,JHG30_638bed870cc3,experimental_grouped_cv,1,included_in_development_residue_labels
EXPERIMENTAL__2lro,experimental_nmr,2lro,2lro,,4b36516a08b7abbb176a3221bf5ab31566e57d6618626d1aca78991f9dd8e639,172,JHG30_86086dda79a0,experimental_grouped_cv,0,included_in_development_residue_labels
EXPERIMENTAL__2lrp,experimental_nmr,2lrp,2lrp,,4b36516a08b7abbb176a3221bf5ab31566e57d6618626d1aca78991f9dd8e639,172,JHG30_86086dda79a0,experimental_grouped_cv,0,included_in_development_residue_labels
EXPERIMENTAL__2lzj,experimental_nmr,2lzj,2lzj,,033cb799c795caf78d01d952da9e33201fccf1d84cec199d99df50b1cbb1a35c,112,JHG30_1087bdf2b435,experimental_grouped_cv,3,included_in_development_residue_labels
EXPERIMENTAL__2n8j,experimental_nmr,2n8j,2n8j,,787e521525941a7d26a5d483ac12f3df74ff3d38c70b225272c4815777f80763,148,JHG30_777fddc4a0b0,experimental_grouped_cv,1,included_in_development_residue_labels
EXPERIMENTAL__2rqs,experimental_nmr,2rqs,2rqs,,d09faf716ecdd45272a7c2b8897f5a939f54c72cab4502ce6b7521940074ed00,97,JHG30_5dd9604335f3,experimental_grouped_cv,0,included_in_development_residue_labels
EXPERIMENTAL__6sft,experimental_nmr,6sft,6sft,,4fa14b6e297ee451acd97502587aa437547da8e596a010777c77da9ef2f9ff62,36,JHG30_4f22cbc24b6a,experimental_grouped_cv,0,included_in_development_residue_labels
HISTORICAL__1pd7,historical_test,1pd7,1pd7,,fd3f4e3b3414e292bb70d966128525a34ea48373842a51f5089adfbe2b14025d,85,JHG30_9e4d75a55bdc,protected_historical_test_metadata_only,-1,protected_historical_test_metadata_only
HISTORICAL__1wrs,historical_test,1wrs,1wrs,,6bf6f2dc7e9f3b31fa73a5c07d1c5cd2fcdb00fec6938bc3f7a13ca49662b2b4,106,JHG30_3b110e7750ba,protected_historical_test_metadata_only,-1,protected_historical_test_metadata_only
HISTORICAL__1wrt,historical_test,1wrt,1wrt,,052995301199c134b50dd6ebc7136faf0af82efb1a85c25e897b622db6cda9d9,104,JHG30_3b110e7750ba,protected_historical_test_metadata_only,-1,protected_historical_test_metadata_only
HISTORICAL__1z9b,historical_test,1z9b,1z9b,,c76f902289c4e49d7af7b7c543ba75ce5c1aba089e5c98a5f03329b8457e1222,135,JHG30_4194a54033f3,protected_historical_test_metadata_only,-1,protected_historical_test_metadata_only
HISTORICAL__2jwt,historical_test,2jwt,2jwt,,13e6dafe54024ceeb02dd7c7f522028d755bff90323b8bf816eeeb453a1731e7,61,JHG30_df2eb87f1c83,protected_historical_test_metadata_only,-1,protected_historical_test_metadata_only
HISTORICAL__2l6b,historical_test,2l6b,2l6b,,8346c345e46e2414058c2b938b9de14e298bdb5f7902401aa8692d538045b1d3,106,JHG30_cd5f0dfccb7c,protected_historical_test_metadata_only,-1,protected_historical_test_metadata_only
HISTORICAL__2luo,historical_test,2luo,2luo,,7e4bdbc1ded54e58b504e2abd1f15fdcbb06908e8d77c97aa714449dfc26288d,164,JHG30_7cb93d0fd564,protected_historical_test_metadata_only,-1,protected_historical_test_metadata_only
HISTORICAL__2m3o,historical_test,2m3o,2m3o,,90332e1a15ff5425b7f83ec241f6849de932ab6a0f3122d19ad321055d0dc48a,43,JHG30_00e62cb6176c,protected_historical_test_metadata_only,-1,protected_historical_test_metadata_only
HISTORICAL__2xdi,historical_test,2xdi,2xdi,,158fb4e40de6e35363d8bd92281b49889195d457df5a907032aba4c772426130,105,JHG30_3b110e7750ba,protected_historical_test_metadata_only,-1,protected_historical_test_metadata_only
HISTORICAL__4aai,historical_test,4aai,4aai,,e04a8505acda6e4417407990c55f666a73aeee283e35eda2ba85560fec99dd11,73,JHG30_53e6f0aa21c6,protected_historical_test_metadata_only,-1,protected_historical_test_metadata_only
MD__1a62_A,md_ired,1a62_A,1a62,A,0df3e4f4d4b698b4bd0a36850c5e2a3597670b6fb3e3d26b0a87e151abda9a7d,130,JHG30_352b9435bee0,weak_train,-1,included_in_development_residue_labels
MD__1ab1_A,md_ired,1ab1_A,1ab1,A,ef9ea8f822d7c26debbc4e3923e167f753455563e46d045a79c0531cd10fba49,46,JHG30_5ebf8e821e0d,weak_train,-1,included_in_development_residue_labels
MD__1ah7_A,md_ired,1ah7_A,1ah7,A,666040cd345f80ad995462083d66c3c11c47523545ae6e9cd7d66c1d45c152f9,245,JHG30_111c8433fc38,weak_train,-1,included_in_development_residue_labels
MD__1ail_A,md_ired,1ail_A,1ail,A,151429e00d80012dea492086244fde3a18877175d07a12dc0b3ce913f18d89f5,73,JHG30_ce6bfd7301ad,weak_train,-1,included_in_development_residue_labels
MD__1aol_A,md_ired,1aol_A,1aol,A,73df2250f47e8e9e232ae1de844b5874b919bb0c49b8b04bf62c17ad6cf6c43a,228,JHG30_eb7da1ba651b,weak_train,-1,included_in_development_residue_labels
MD__1b0n_A,md_ired,1b0n_A,1b0n,A,0b65e1498555560b8dde07430a7c331aec41417a03117913fdb4d7342cbf0dce,111,JHG30_030a687c29f4,weak_train,-1,included_in_development_residue_labels
MD__1b2s_E,md_ired,1b2s_E,1b2s,E,a014502804fd3538eb83e2984404e8dae6739cf05a2e774e1427b255076ced93,90,JHG30_36575e6f61da,weak_train,-1,included_in_development_residue_labels
MD__1b2s_F,md_ired,1b2s_F,1b2s,F,a014502804fd3538eb83e2984404e8dae6739cf05a2e774e1427b255076ced93,90,JHG30_36575e6f61da,weak_train,-1,included_in_development_residue_labels
MD__1b8d_K,md_ired,1b8d_K,1b8d,K,d27742ef9519d81f0720c57792ec521b3fa408313150c10df803d8fe748780e5,164,JHG30_95b5c236aba8,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__1bgf_A,md_ired,1bgf_A,1bgf,A,be7879e0807b17f2f2636d3df3998798ebf05390b1ba030f2ca7a73fc2a46550,124,JHG30_ca4683cf460a,weak_train,-1,included_in_development_residue_labels
MD__1bkp_A,md_ired,1bkp_A,1bkp,A,4816514bbe147fb813a3cabe6b81d7835f9b16539d9f5c257954f1426ffef127,278,JHG30_f6956f6748c4,weak_train,-1,included_in_development_residue_labels
MD__1bq8_A,md_ired,1bq8_A,1bq8,A,f284edff601ec4d1716545f70d93996a220dd6f405a79268dc999b082fac3385,54,JHG30_65a07c8f6b92,weak_train,-1,included_in_development_residue_labels
MD__1btk_A,md_ired,1btk_A,1btk,A,809edf8f0f18c9d816c5e436a1534e8449636d2b7d7d0811f8306274fd6071ab,169,JHG30_5ca3da0a3ff1,weak_validation,-1,included_in_development_residue_labels
MD__1bx7_A,md_ired,1bx7_A,1bx7,A,a8c12dd78dca7f3460710e0d313dc0aa71666ca56b585964a4fa28b2498d0a4b,55,JHG30_12223bb20c54,weak_train,-1,included_in_development_residue_labels
MD__1bxy_A,md_ired,1bxy_A,1bxy,A,d8cbedf3ef2adc843d9e0f7c0c161efe24d6094a99ad9fa316383f7eebded20d,60,JHG30_bc884429d84a,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__1bxy_B,md_ired,1bxy_B,1bxy,B,d8cbedf3ef2adc843d9e0f7c0c161efe24d6094a99ad9fa316383f7eebded20d,60,JHG30_bc884429d84a,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__1by2_A,md_ired,1by2_A,1by2,A,3a964ff8df32950f3e9f55d4e9a037eb87fb092a1fcb8059644c15a83ead0a9a,119,JHG30_c6a1354722ea,weak_train,-1,included_in_development_residue_labels
MD__1c1k_A,md_ired,1c1k_A,1c1k,A,ff79ffad6ac582688eafbe7573a15db97c3ba2263cd1be5c172535e1c85bd8cd,217,JHG30_6d69c77a71b6,weak_validation,-1,included_in_development_residue_labels
MD__1c52_A,md_ired,1c52_A,1c52,A,1b2147980e1a8a08be3928ae4deb425116f1c908db1f562e5cebe87f100e760b,131,JHG30_bffd40cb41a9,weak_train,-1,included_in_development_residue_labels
MD__1chd_A,md_ired,1chd_A,1chd,A,75856b24378a15ed6dc3fc8c7403e75db5ae0ee77bf1366a86cc351c58fab417,203,JHG30_abbddce0acff,weak_train,-1,included_in_development_residue_labels
MD__1cm3_A,md_ired,1cm3_A,1cm3,A,834ccdda60bec899711694758253de85b67655b04fa6ce62fe2f2b9d84a4b7b7,85,JHG30_073e388c9112,weak_train,-1,included_in_development_residue_labels
MD__1coj_A,md_ired,1coj_A,1coj,A,373e83a60cf1ecbae87fd7d26db8b68f23aff6870473f9a02d351619959e7e30,212,JHG30_417f22d9269b,weak_train,-1,included_in_development_residue_labels
MD__1cpq_A,md_ired,1cpq_A,1cpq,A,50f4a7b43deb384d3a4b81571b4f0012b79d72e929c5e1ed2205790b9ae13540,129,JHG30_32d41f52b505,weak_train,-1,included_in_development_residue_labels
MD__1ctf_A,md_ired,1ctf_A,1ctf,A,068338b1883385d54fba253debf64270d25d45e2802add7af2c1430f95203dcb,74,JHG30_d7876a7d52c1,weak_validation,-1,included_in_development_residue_labels
MD__1cuo_A,md_ired,1cuo_A,1cuo,A,c992516aecab2b209ae4ac065c735265853d4196f235c9fd74c8e1f728c1edd0,129,JHG30_7c6daf0fcda2,weak_train,-1,included_in_development_residue_labels
MD__1d2t_A,md_ired,1d2t_A,1d2t,A,06cc84dc09e4631e0b7b7f34563490a628491aba6418cb1658c7d5a00f6146aa,231,JHG30_d65f2d1af36e,weak_train,-1,included_in_development_residue_labels
MD__1d4t_A,md_ired,1d4t_A,1d4t,A,f0b9a62b7da1078b318e3a79e67dd550c3c90b5ab96edd0c89a9ac276a6328e1,104,JHG30_a6043233ef98,weak_train,-1,included_in_development_residue_labels
MD__1dd3_A,md_ired,1dd3_A,1dd3,A,4663d164e1bce2412cc88503c9a0544b5019660618c2a6ecdb77f8d37b121f3d,128,JHG30_463b12fb43c8,weak_train,-1,included_in_development_residue_labels
MD__1dd3_B,md_ired,1dd3_B,1dd3,B,4663d164e1bce2412cc88503c9a0544b5019660618c2a6ecdb77f8d37b121f3d,128,JHG30_463b12fb43c8,weak_train,-1,included_in_development_residue_labels
MD__1dfu_P,md_ired,1dfu_P,1dfu,P,28b0c1fb7c8669ccfac0beb75e76d4d36176b11143e58521c9a2234e76394930,94,JHG30_9a5f2eda4b13,weak_validation,-1,included_in_development_residue_labels
MD__1dj0_B,md_ired,1dj0_B,1dj0,B,674609915e9d5bb714c4eb26b767cc91bdb96bcfd742cb39fec32e3a0caff4de,264,JHG30_4a6ece23c8d3,weak_train,-1,included_in_development_residue_labels
MD__1dk8_A,md_ired,1dk8_A,1dk8,A,59364ee88c41fa01a24763cd4f13334c44c8ea4dc710340b99b9901512eb6dc0,147,JHG30_6f32745def30,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__1doi_A,md_ired,1doi_A,1doi,A,7cd88f02e57c312417faefeb4257bf221dfca17acd60a318dea90d3b13fb5e5b,128,JHG30_5cc578d4d334,weak_train,-1,included_in_development_residue_labels
MD__1dpt_A,md_ired,1dpt_A,1dpt,A,67941bb6e7393180b44a645ed852f2f137d4517f7215c11e9f67d8fe5f56caf6,117,JHG30_969d0f038f7f,weak_train,-1,included_in_development_residue_labels
MD__1dtd_B,md_ired,1dtd_B,1dtd,B,f6944a96473fcc596396e348494d6401e2a03e800122690c63c24aac9b6a8dcd,61,JHG30_c72ebdeb38e7,weak_train,-1,included_in_development_residue_labels
MD__1dwk_A,md_ired,1dwk_A,1dwk,A,947527cb44ad345f9a1c7be32df69d9024ad308ac30fcd5036fe6ce2e838193f,156,JHG30_23c442c6e71f,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__1dzf_A,md_ired,1dzf_A,1dzf,A,cbb62a307ad153c255d09b1c38b21b1866a034868655b605fa2a8e4f6e878fa7,215,JHG30_60f646bcb481,weak_train,-1,included_in_development_residue_labels
MD__1e7l_B,md_ired,1e7l_B,1e7l,B,9eabe025a3117286a4f5ba175faf62e672977ed51e277ef6f81d0af640ed0e87,157,JHG30_5732f5adb88a,weak_validation,-1,included_in_development_residue_labels
MD__1ear_A,md_ired,1ear_A,1ear,A,80861e1ae4df0be876d1637becd1a378ef58bdfe2fd18efdfd018d0f265b0b32,147,JHG30_0f87f8688d15,weak_train,-1,included_in_development_residue_labels
MD__1eb0_A,md_ired,1eb0_A,1eb0,A,80861e1ae4df0be876d1637becd1a378ef58bdfe2fd18efdfd018d0f265b0b32,147,JHG30_0f87f8688d15,weak_train,-1,included_in_development_residue_labels
MD__1ef1_C,md_ired,1ef1_C,1ef1,C,38885c7440e2a96b364101f9718285e6e2b91d57f97cd64a6ffcd777570ff2ab,90,JHG30_ea280c98411d,weak_train,-1,included_in_development_residue_labels
MD__1ef1_D,md_ired,1ef1_D,1ef1,D,38885c7440e2a96b364101f9718285e6e2b91d57f97cd64a6ffcd777570ff2ab,90,JHG30_ea280c98411d,weak_train,-1,included_in_development_residue_labels
MD__1egw_B,md_ired,1egw_B,1egw,B,0d44d507867adb97eb9f9c782cad5c380502328e48738a2d55a90804fabd8e63,77,JHG30_57f6d9646b55,weak_train,-1,included_in_development_residue_labels
MD__1egw_C,md_ired,1egw_C,1egw,C,0d44d507867adb97eb9f9c782cad5c380502328e48738a2d55a90804fabd8e63,77,JHG30_57f6d9646b55,weak_train,-1,included_in_development_residue_labels
MD__1enj_A,md_ired,1enj_A,1enj,A,33a2395260bf71669ac0e8598c7de1ccff1a123bffe89df6ba76fd9cd757034a,138,JHG30_4b748fc2c2a0,weak_train,-1,included_in_development_residue_labels
MD__1ez3_B,md_ired,1ez3_B,1ez3,B,1862b38e8aa1db7aabe7285ac1b727bd2e55d55507f5845ce1f8e475d817d996,127,JHG30_1166fd939926,weak_train,-1,included_in_development_residue_labels
MD__1f3u_E,md_ired,1f3u_E,1f3u,E,9de8e9aa34fb781fd89fd46bf1e722bd0479f79399adfc7a76e74e8276126b2d,118,JHG30_5680ac1086f3,weak_train,-1,included_in_development_residue_labels
MD__1f3u_G,md_ired,1f3u_G,1f3u,G,9de8e9aa34fb781fd89fd46bf1e722bd0479f79399adfc7a76e74e8276126b2d,118,JHG30_5680ac1086f3,weak_train,-1,included_in_development_residue_labels
MD__1f9p_A,md_ired,1f9p_A,1f9p,A,6d3b6be45a552dfded7a1cedd5a145e551ce0022fef0209391ebbcfc9ee8d78a,85,JHG30_91ed18ae2797,weak_train,-1,included_in_development_residue_labels
MD__1fcz_A,md_ired,1fcz_A,1fcz,A,4eab90fd71acfe8ce19a5b45b36e9026b5f18059631adef9b8e6f25998a1f9b9,235,JHG30_f83295a0dcc5,weak_train,-1,included_in_development_residue_labels
MD__1fd3_A,md_ired,1fd3_A,1fd3,A,80b2e571696e504921796704db3d98f079b090d8f92db166d5fb06c46b907eca,41,JHG30_7063e4801d92,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__1fk5_A,md_ired,1fk5_A,1fk5,A,36dc9ce6bcb56036b40afbb94b7fda9ca6a7fcd2eafb3478e2c5715b5b682957,93,JHG30_13b2e8c24866,weak_validation,-1,included_in_development_residue_labels
MD__1fm4_A,md_ired,1fm4_A,1fm4,A,175e75d86bd2433e82e818660271e762d105f3b6d0aabb7247890c42cc844502,159,JHG30_23cec51a292c,weak_train,-1,included_in_development_residue_labels
MD__1fqi_A,md_ired,1fqi_A,1fqi,A,bc15f4d192d7558cdd1a70f1c50d0e5fc1f64115b60a31572bfe0273a6c6c527,147,JHG30_ec51cc3ec87d,weak_train,-1,included_in_development_residue_labels
MD__1fs1_A,md_ired,1fs1_A,1fs1,A,5e6cf214c3fbe084862b2498005ee52583de1c94d0bd1fee6b3ac58db6e11c61,53,JHG30_430dcf3e9ee6,weak_train,-1,included_in_development_residue_labels
MD__1fs1_C,md_ired,1fs1_C,1fs1,C,5e6cf214c3fbe084862b2498005ee52583de1c94d0bd1fee6b3ac58db6e11c61,53,JHG30_430dcf3e9ee6,weak_train,-1,included_in_development_residue_labels
MD__1fx4_A,md_ired,1fx4_A,1fx4,A,4e8c435ed859f3153223b3c0ffc768cbfe0b531a815dbd98cea03654b0df8f9c,231,JHG30_68bb91a9bc13,weak_train,-1,included_in_development_residue_labels
MD__1fxo_G,md_ired,1fxo_G,1fxo,G,6d7c70f2a015024deaf10db91aaa082a21e9986c7bdaf15f37d205312947e502,293,JHG30_e9940275defe,weak_train,-1,included_in_development_residue_labels
MD__1g2r_A,md_ired,1g2r_A,1g2r,A,75ff2c049c7c1d3eb24648bc7ae6daac0a85f652a44eb8449f120c0cc551b4cd,100,JHG30_c27f4c93f5a5,weak_train,-1,included_in_development_residue_labels
MD__1g6g_A,md_ired,1g6g_A,1g6g,A,1f03cf481496fb9831470630d0cfdf5a132865505eeecdf6c5c6b2df8bb42af6,127,JHG30_4792371cf648,weak_train,-1,included_in_development_residue_labels
MD__1g81_A,md_ired,1g81_A,1g81,A,e14fddfe4aaef193f357363ba562412dc0a5af3fd020958ffe4ea6c304462aab,164,JHG30_e59ea0ef1a5a,weak_train,-1,included_in_development_residue_labels
MD__1gqv_A,md_ired,1gqv_A,1gqv,A,7e29d58baf7d33676c70f8971457e724e07e0270df4c9e083de874f408e19694,135,JHG30_ead4e1e13649,weak_validation,-1,included_in_development_residue_labels
MD__1h02_B,md_ired,1h02_B,1h02,B,932a9a2ed2adb912817402aa49cb2d1d59ddc4a9fa579f7e0b9ddd2ac3f08099,70,JHG30_6c5c22095720,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__1h2e_A,md_ired,1h2e_A,1h2e,A,f72a6bd72d0b06d3e509f09802b07ff0d58f1f5accbb99c6f2f875b3fadcf680,207,JHG30_89a7d6f43486,weak_validation,-1,included_in_development_residue_labels
MD__1h99_A,md_ired,1h99_A,1h99,A,645eb8ddce6c99734b72f9cd56ff8b9bdd599cb38f1c2806ccdfaf0137664856,224,JHG30_b1f5339f6d11,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__1hc9_B,md_ired,1hc9_B,1hc9,B,01c59909cda3dfa2ba40c952a1ca375e8b8d464c7bd62c5abff8a3d9bcab8325,74,JHG30_bff0ef26b4e6,weak_train,-1,included_in_development_residue_labels
MD__1hoe_A,md_ired,1hoe_A,1hoe,A,068c69133abf89adcc78a49049cf7a54e12c0bb503b168527b80ed7f727e13b7,74,JHG30_08282fe49b96,weak_train,-1,included_in_development_residue_labels
MD__1hq0_A,md_ired,1hq0_A,1hq0,A,ce4740b8faa81bf35366a49a8f87c89cd6006aa4a3581e9e3f89d71bc8ab45d2,295,JHG30_f3e98e3e49af,weak_train,-1,included_in_development_residue_labels
MD__1huf_A,md_ired,1huf_A,1huf,A,1f2660bd3e79b55231d4c0c59cfb5ff972ba19c865ebd4ac9d7143ae68160b83,140,JHG30_fb5a4ab71a53,weak_train,-1,included_in_development_residue_labels
MD__1hw1_B,md_ired,1hw1_B,1hw1,B,b2b863f0e4031b6e1e52a4f310efd18c09b543dfa1103f46a8683212250fdf6b,239,JHG30_c60c5ea34927,weak_train,-1,included_in_development_residue_labels
MD__1hye_A,md_ired,1hye_A,1hye,A,0c6345cb21898278ab2caaee7132a4de5a2a217fa602fe544d128f788c2b4666,313,JHG30_43bfbc8decec,weak_train,-1,included_in_development_residue_labels
MD__1i0v_A,md_ired,1i0v_A,1i0v,A,654fa2cf426ac8ef6194f60b0ac91dd029572218d6e1f1ff7c2870e9ca6b63b8,104,JHG30_dbb60ec5323a,weak_train,-1,included_in_development_residue_labels
MD__1i2t_A,md_ired,1i2t_A,1i2t,A,f086c09a62460d1c1d4e292387dfbdf057ccb1d324ff721587d60d1e34728524,61,JHG30_ed8eda01534e,weak_train,-1,included_in_development_residue_labels
MD__1i4m_A,md_ired,1i4m_A,1i4m,A,384d56151103776a72296c50976dafa478eeae1f269a3354b8e8a56f81f322ef,108,JHG30_a640207d1728,weak_train,-1,included_in_development_residue_labels
MD__1ifg_A,md_ired,1ifg_A,1ifg,A,f0c88a0a2c55481d5515c9811cc560d80d6075f2b26a5001d64fa513391717c2,140,JHG30_e3c37af44767,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__1ijt_A,md_ired,1ijt_A,1ijt,A,9950e82248a021d9041e2b11526aeb083bed73c9781ee8ea6c916d141ffcc7b5,128,JHG30_2f14d1db4b56,weak_train,-1,included_in_development_residue_labels
MD__1ijx_C,md_ired,1ijx_C,1ijx,C,125ce6b377bc56a33b6256460a74702db9d3eeb7e2b9e0d88e32f46a4ad491c7,127,JHG30_26b628efbe65,weak_validation,-1,included_in_development_residue_labels
MD__1ikt_A,md_ired,1ikt_A,1ikt,A,5679bc508e7f35c825243cdeda48637381cc29bced63b6a27630c929a1b13a96,120,JHG30_e3c841191aa8,weak_validation,-1,included_in_development_residue_labels
MD__1im5_A,md_ired,1im5_A,1im5,A,d21328d8eed9f652f13e00dbc2da9d75a8c518344c59edcc3b0c647f929b2e7c,180,JHG30_f84ee97a8728,weak_train,-1,included_in_development_residue_labels
MD__1iqq_A,md_ired,1iqq_A,1iqq,A,ed43c4f7358dd93a0a5f3659803f3c0aad7e1d3843aca70b917cd045d53da409,200,JHG30_4230e46672c8,weak_train,-1,included_in_development_residue_labels
MD__1ix9_A,md_ired,1ix9_A,1ix9,A,d7eb06830cce990a3ae437027435fea78d9324cef45b3261c3b915630de2f1b7,205,JHG30_aad51617ed33,weak_train,-1,included_in_development_residue_labels
MD__1j0p_A,md_ired,1j0p_A,1j0p,A,48e91ae63dc36c7aa796dd7850aebe2d007a47f89a685a254b21b8fd0a94d6d1,108,JHG30_83d03e1ad972,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__1j2l_A,md_ired,1j2l_A,1j2l,A,0d1ab7c8ca4c545d1393a73bcaec9ce6504e0b0a626df91e27790c0fb3470019,70,JHG30_2b9c2e79c4f2,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__1j5u_A,md_ired,1j5u_A,1j5u,A,c36150b22e89965cd6f8a0a5f998400647ab3bd3cafb67911cf70c9a251cdbcd,136,JHG30_dc14553fbd2e,weak_train,-1,included_in_development_residue_labels
MD__1j77_A,md_ired,1j77_A,1j77,A,aa1b42b4fa4ff4801e1f076c3e134acfa2ad2af33f12222c7c490a759a4c7a5c,209,JHG30_7f0f8c460be9,weak_validation,-1,included_in_development_residue_labels
MD__1j8e_A,md_ired,1j8e_A,1j8e,A,33c536c4830cc69f5bc0721314cae9b016d464dfaff3ea7beb382925b44a5d2d,44,JHG30_919c8f8c0404,weak_train,-1,included_in_development_residue_labels
MD__1j8r_A,md_ired,1j8r_A,1j8r,A,d3d48901c52221fa58053151e4713bdd9fb5abbd5ad991435745e53f2af4df70,196,JHG30_d191bf741258,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__1jhs_A,md_ired,1jhs_A,1jhs,A,8e9e6b6d8ff0e96b75dcf4583b2dde9c7d94bb4b999a3825659c0602c09fd69f,188,JHG30_1e954265f210,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
